indoors,created_at,session_id,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
1,2016-12-01T12:46:36.137Z,2016-12-01T12:46:35.134Z,-90,40.80887963681418,-73.96168972052449,10,65,-1,-1,0,99.72161102294922,jewish theological seminary,0-2,walking,new york,united states,222.2613067626953,363.8954467773438,-869.0538330078125,968.0261098414207
1,2016-12-01T12:46:37.137Z,2016-12-01T12:46:35.134Z,-90,40.80887963681418,-73.96168972052449,10,65,-1,-1,0,99.72066497802734,jewish theological seminary,0-2,walking,new york,united states,203.537109375,381.4459228515625,-870.1287841796875,971.6236143748422
1,2016-12-01T12:46:38.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.03411865234375,99.7210693359375,jewish theological seminary,0-2,walking,new york,united states,206.2344970703125,379.3345031738281,-868.9796142578125,970.3364896135961
1,2016-12-01T12:46:39.136Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.0580596923828125,99.72135162353516,jewish theological seminary,0-2,walking,new york,united states,206.5346527099609,379.1829528808594,-868.2271728515625,969.6673131560583
1,2016-12-01T12:46:40.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.0646820068359375,99.72142791748047,jewish theological seminary,0-2,walking,new york,united states,206.1583709716797,377.9088134765625,-866.9515991210938,967.9470132417279
1,2016-12-01T12:46:41.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.0646820068359375,99.72142791748047,jewish theological seminary,0-2,walking,new york,united states,206.4542541503906,374.7570495605469,-865.74169921875,965.6991741832903
1,2016-12-01T12:46:42.136Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.09625244140625,99.7218017578125,jewish theological seminary,0-2,walking,new york,united states,206.3819580078125,376.4071044921875,-865.2963256835938,965.9262664121206
1,2016-12-01T12:46:43.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.1150970458984375,99.72203063964844,jewish theological seminary,0-2,walking,new york,united states,205.7840118408203,377.8345336914062,-865.4540405273438,966.4971239709979
1,2016-12-01T12:46:44.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.1212005615234375,99.72209930419922,jewish theological seminary,0-2,walking,new york,united states,208.7946166992188,384.572021484375,-864.474853515625,968.9208450807597
1,2016-12-01T12:46:45.137Z,2016-12-01T12:46:35.134Z,-89,40.80887963681418,-73.96168972052449,10,65,-1,-1,-0.1456451416015625,99.72238922119141,jewish theological seminary,0-2,walking,new york,united states,206.8528747558594,389.8294372558594,-863.7515869140625,969.9597444443478
