indoors,created_at,session_id,floor,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2017-03-08T17:02:39.596Z,2017-03-08T17:02:38.593Z,0,-92,40.80803940076456,-73.96270735196207,4,10,44.296875,0.8399999737739563,-8.90234375,100.9277572631836,,0-2,walking,new york,united states,-55.69984436035156,299.5970458984375,-698.4888305664062,762.0679162639401
0,2017-03-08T17:02:40.595Z,2017-03-08T17:02:38.593Z,0,-92,40.80804828558193,-73.96270207136307,4,10,41.8359375,0.8399999737739563,0,100.4571838378906,,0-2,walking,new york,united states,-62.43753051757812,307.6487426757812,-698.0311279296875,765.3715761941479
0,2017-03-08T17:02:41.596Z,2017-03-08T17:02:38.593Z,0,-92,40.80805633220897,-73.9626968745831,4,10,40.4296875,0.9900000095367432,0.1053009033203125,100.4559326171875,,0-2,walking,new york,united states,-61.24638366699219,301.9442443847656,-698.6085815429688,763.5282551646994
0,2017-03-08T17:02:42.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80806521702633,-73.96268983378444,4,10,38.3203125,0.9900000095367432,0.210601806640625,100.4546737670898,,0-2,walking,new york,united states,-66.41590881347656,305.0391235351562,-696.9274291992188,763.6542289549953
0,2017-03-08T17:02:43.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80807535912917,-73.96268321208093,4,10,41.484375,0.9900000095367432,0.2693252563476562,100.4539794921875,,0-2,walking,new york,united states,-67.38493347167969,308.6424255371094,-695.8182373046875,764.1753041457275
0,2017-03-08T17:02:44.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80808474686072,-73.96267365671132,4,10,48.1640625,0.8399999737739563,0.2794570922851562,100.4538497924805,,0-2,walking,new york,united states,-59.4512939453125,298.712158203125,-698.7378540039062,762.2322470403132
0,2017-03-08T17:02:45.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80809120092616,-73.9626641013417,4,10,83.3203125,0.9200000166893005,0.2875518798828125,100.4537582397461,,0-2,walking,new york,united states,-63.95513916015625,294.9032897949219,-695.0098876953125,757.6918596310202
0,2017-03-08T17:02:46.517Z,2017-03-08T17:02:38.593Z,0,-92,40.80809488896356,-73.96265211522017,4,10,95.625,0.8399999737739563,0.29058837890625,100.4537200927734,,0-2,walking,new york,united states,-55.04766845703125,283.1676025390625,-694.8432006835938,752.3438113432559
0,2017-03-08T17:02:47.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80809409268276,-73.96264138638411,4,10,109.6875,0.8399999737739563,0.3052749633789062,100.4535446166992,,0-2,walking,new york,united states,-59.47152709960938,284.3108520507812,-696.0020141601562,754.1805664722442
0,2017-03-08T17:02:48.516Z,2017-03-08T17:02:38.593Z,0,-92,40.80808822535054,-73.96263149573836,4,10,155.7421875,0.8399999737739563,0.3533706665039062,100.4529724121094,,0-2,walking,new york,united states,-52.65599060058594,277.8333740234375,-695.4881591796875,750.778140749001
