indoors,created_at,session_id,floor,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2017-03-08T17:12:04.094Z,2017-03-08T17:12:02.474Z,0,-98,40.80836663026438,-73.96224089905057,48,50,277.3828125,2.029999971389771,0,100.4412078857422,,0-2,walking,new york,united states,-28.09347534179688,300.3814086914062,-688.0975341796875,751.3297881678724
0,2017-03-08T17:12:04.469Z,2017-03-08T17:12:02.474Z,0,-98,40.80836663026438,-73.96224089905057,48,50,277.3828125,2.029999971389771,0,100.4412078857422,,0-2,walking,new york,united states,-28.09347534179688,300.3814086914062,-688.0975341796875,751.3297881678724
0,2017-03-08T17:12:05.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80836927056388,-73.96225414245758,48,30,244.3359375,0.7099999785423279,0.1336669921875,100.4396209716797,,0-2,walking,new york,united states,-24.49093627929688,301.1906433105469,-685.4493408203125,749.1037367472269
0,2017-03-08T17:12:06.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80836763609276,-73.96227392374907,48,30,288.984375,0.7099999785423279,0,100.4412078857422,,0-2,walking,new york,united states,-23.51593017578125,300.736083984375,-684.0914306640625,747.6471605579019
0,2017-03-08T17:12:07.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80837530553416,-73.96228389821384,48,30,288.984375,0.8399999737739563,-0.077972412109375,100.442138671875,,0-2,walking,new york,united states,-25.31398010253906,302.16845703125,-684.4826049804688,748.6407753616727
0,2017-03-08T17:12:08.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80838536381797,-73.96229529760215,48,30,307.265625,1.320000052452087,-0.3331527709960938,100.4451904296875,,0-2,walking,new york,united states,-23.13404846191406,304.5584106445312,-681.7733154296875,747.064832075871
0,2017-03-08T17:12:09.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80840040933416,-73.96230066202018,32,30,321.6796875,1.190000057220459,-0.379730224609375,100.4457397460938,,0-2,walking,new york,united states,-23.4283447265625,307.9339294433594,-680.5087890625,747.3047599409257
0,2017-03-08T17:12:10.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80841252118424,-73.96230451769564,32,30,326.953125,1.190000057220459,-0.3999786376953125,100.4459838867188,,0-2,walking,new york,united states,-23.88011169433594,307.0361328125,-681.334716796875,747.7021083958952
0,2017-03-08T17:12:11.468Z,2017-03-08T17:12:02.474Z,0,-98,40.80842257946805,-73.96231407306526,32,30,279.140625,1.190000057220459,-0.3999786376953125,100.4459838867188,,0-2,walking,new york,united states,-25.98991394042969,301.04541015625,-682.9844970703125,746.8411061538883
0,2017-03-08T17:12:12.467Z,2017-03-08T17:12:02.474Z,0,-98,40.80843058418558,-73.96233125596676,32,30,285.46875,1.399999976158142,-0.1326522827148438,100.4427947998047,,0-2,walking,new york,united states,-22.98333740234375,305.2331237792969,-682.3739013671875,747.8834367181116
