indoors,created_at,session_id,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2016-12-01T19:14:47.932Z,2016-12-01T19:14:46.930Z,-104,40.80906635154114,-73.95820735960636,6,25,135.3515625,1.279999971389771,-1.961021423339844,100.2571105957031,columbia university - teachers college,0-2,walking,new york,united states,189.3273315429688,220.1205139160156,-755.6749877929688,809.5323133091943
0,2016-12-01T19:14:48.932Z,2016-12-01T19:14:46.930Z,-104,40.80905285667703,-73.95819453529451,6,25,137.8125,1.429999947547913,0,100.2585830688477,columbia university - teachers college,0-2,walking,new york,united states,188.1990661621094,218.25048828125,-756.5781860351562,809.6065190717906
0,2016-12-01T19:14:51.304Z,2016-12-01T19:14:46.930Z,-104,40.80904334321693,-73.95818305208716,6,25,131.8359375,0.7900000214576721,0.097869873046875,100.2574234008789,columbia university - teachers college,0-2,walking,new york,united states,188.1990661621094,218.25048828125,-756.5781860351562,809.6065190717906
0,2016-12-01T19:14:51.935Z,2016-12-01T19:14:46.930Z,-104,40.80902142454014,-73.95816687501404,6,10,145.546875,1.070000052452087,0.2793960571289062,100.255256652832,columbia university - teachers college,0-2,walking,new york,united states,185.8829956054688,224.9358520507812,-758.7861328125,812.9606515334076
0,2016-12-01T19:14:52.931Z,2016-12-01T19:14:46.930Z,-104,40.80900646284298,-73.95815840929184,6,10,153.6328125,1.159999966621399,0.3686447143554688,100.2541961669922,columbia university - teachers college,0-2,walking,new york,united states,179.8049011230469,219.0294189453125,-747.263916015625,799.1914970833942
0,2016-12-01T19:14:53.932Z,2016-12-01T19:14:46.930Z,-104,40.80899472817854,-73.95814700990353,6,10,145.8984375,1.370000004768372,0.3792953491210938,100.2540740966797,columbia university - teachers college,0-2,walking,new york,united states,177.3587951660156,280.9031066894531,-725.0856323242188,797.5662177985845
0,2016-12-01T19:14:54.932Z,2016-12-01T19:14:46.930Z,-104,40.80898580145166,-73.95813678398166,6,10,134.296875,1.370000004768372,0.4046478271484375,100.2537689208984,columbia university - teachers college,0-2,walking,new york,united states,172.7016754150391,273.2674255371094,-716.4741821289062,786.0255773243808
0,2016-12-01T19:14:55.932Z,2016-12-01T19:14:46.930Z,-104,40.80897561743931,-73.95812161273692,6,25,122.34375,1.370000004768372,0.42645263671875,100.2535095214844,columbia university - teachers college,0-2,walking,new york,united states,191.6240234375,285.2623596191406,-707.7467041015625,786.7653890077271
0,2016-12-01T19:14:56.932Z,2016-12-01T19:14:46.930Z,-104,40.80896568488405,-73.95810065797899,6,25,117.7734375,1.799999952316284,0.4441986083984375,100.2532958984375,columbia university - teachers college,0-2,walking,new york,united states,192.5307159423828,286.8293762207031,-699.0443115234375,779.7449051566293
0,2016-12-01T19:14:57.932Z,2016-12-01T19:14:46.930Z,-104,40.80895696770475,-73.95808305598233,6,25,116.71875,1.799999952316284,0.4441986083984375,100.2532958984375,columbia university - teachers college,0-2,walking,new york,united states,185.0279693603516,283.9328002929688,-695.8645629882812,774.0030197296995
0,2016-12-01T19:14:58.932Z,2016-12-01T19:14:46.930Z,-104,40.80894808288739,-73.95806796855662,6,25,119.53125,1.409999966621399,0.3128662109375,100.2548599243164,columbia university - teachers college,0-2,walking,new york,united states,185.8573455810547,287.6807250976562,-698.3431396484375,777.8086481861628
0,2016-12-01T19:14:59.932Z,2016-12-01T19:14:46.930Z,-104,40.8089399105318,-73.95805313258801,6,25,123.046875,1.409999966621399,0.1881256103515625,100.2563400268555,columbia university - teachers college,0-2,walking,new york,united states,178.9497528076172,280.6554565429688,-692.4489135742188,768.2942126733517
0,2016-12-01T19:15:00.931Z,2016-12-01T19:14:46.930Z,-104,40.80892943315283,-73.95803997300003,6,25,124.1015625,1.389999985694885,0.1881256103515625,100.2563400268555,columbia university - teachers college,0-2,walking,new york,united states,186.5982360839844,280.3258361816406,-694.4945678710938,771.8317050646777
0,2016-12-01T19:15:01.932Z,2016-12-01T19:14:46.930Z,-104,40.80891958441661,-73.95802974707816,6,25,125.859375,1.360000014305115,0.2418746948242188,100.2557067871094,columbia university - teachers college,0-2,walking,new york,united states,177.2152862548828,278.0429077148438,-703.5545654296875,776.9827171500546
0,2016-12-01T19:15:02.932Z,2016-12-01T19:14:46.930Z,-104,40.80891254361794,-73.95801809623275,6,25,124.1015625,1.110000014305115,0.308807373046875,100.2549057006836,columbia university - teachers college,0-2,walking,new york,united states,179.8442535400391,281.3333435058594,-705.494384765625,780.5220897805439
0,2016-12-01T19:15:03.932Z,2016-12-01T19:14:46.930Z,-104,40.80890277870075,-73.95800393081639,6,25,125.15625,1.370000004768372,0.3858871459960938,100.2539901733398,columbia university - teachers college,0-2,walking,new york,united states,181.0525207519531,287.1039428710938,-706.2503662109375,783.5804164575886
0,2016-12-01T19:15:04.932Z,2016-12-01T19:14:46.930Z,-104,40.80888974484132,-73.95798565826748,6,25,126.5625,1.370000004768372,0.422393798828125,100.2535552978516,columbia university - teachers college,0-2,walking,new york,united states,185.0290222167969,286.3353576660156,-700.9705810546875,779.4763829753762
0,2016-12-01T19:15:05.932Z,2016-12-01T19:14:46.930Z,-104,40.80887453168706,-73.9579688106421,6,25,131.8359375,1.399999976158142,0.422393798828125,100.2535552978516,columbia university - teachers college,0-2,walking,new york,united states,185.0301513671875,287.3858032226562,-701.8732299804688,780.6745722592171
0,2016-12-01T19:15:06.932Z,2016-12-01T19:14:46.930Z,-104,40.8088603662707,-73.95795539959703,6,25,136.40625,1.320000052452087,0.4249267578125,100.2535247802734,columbia university - teachers college,0-2,walking,new york,united states,182.1011657714844,284.9228210449219,-702.41259765625,779.5673837929157
0,2016-12-01T19:15:07.932Z,2016-12-01T19:14:46.930Z,-104,40.80884540457354,-73.95794408402774,6,25,139.921875,1.389999985694885,0.4812164306640625,100.2528533935547,columbia university - teachers college,0-2,walking,new york,united states,182.7751312255859,284.921142578125,-704.5078125,781.612476842642
0,2016-12-01T19:15:08.932Z,2016-12-01T19:14:46.930Z,-104,40.80882897604332,-73.95793343901072,6,25,144.140625,1.389999985694885,0.6105270385742188,100.2513122558594,columbia university - teachers college,0-2,walking,new york,united states,181.1265563964844,286.8792419433594,-707.5242309570312,784.6636644329747
0,2016-12-01T19:15:09.932Z,2016-12-01T19:14:46.930Z,-104,40.80880944620893,-73.95792321308885,6,30,147.65625,1.5,0.7276611328125,100.2499237060547,columbia university - teachers college,0-2,walking,new york,united states,179.4021301269531,287.0358276367188,-706.8617553710938,783.7271411961489
0,2016-12-01T19:15:10.932Z,2016-12-01T19:14:46.930Z,-104,40.80879989083932,-73.95791323862407,6,25,145.1953125,1.5,0.8108291625976562,100.2489318847656,columbia university - teachers college,0-2,walking,new york,united states,181.7294311523438,288.8268737792969,-707.5999145507812,785.5852520486553
