indoors,created_at,session_id,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
0,2016-11-30T09:50:34.077Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,94.921875,0.1500000059604645,0.7941513061523438,100.6350479125977,low memorial library,0-2,walking,new york,united states,193.1954803466797,380.2771301269531,-849.873291015625,950.9047271444732
0,2016-11-30T09:50:35.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,160.3125,0,0,100.6330795288086,low memorial library,0-2,walking,new york,united states,191.9342651367188,389.8077087402344,-850.8809814453125,955.3990038262663
0,2016-11-30T09:50:36.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,105.46875,0,0.02881622314453125,100.6327362060547,low memorial library,0-2,walking,new york,united states,192.9017791748047,384.9290161132812,-851.2369995117188,953.9317969291399
0,2016-11-30T09:50:37.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,105.46875,0,0.05712509155273438,100.6324005126953,low memorial library,0-2,walking,new york,united states,193.8755645751953,384.3254089355469,-851.82861328125,954.4138205712884
0,2016-11-30T09:50:38.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,105.46875,0,0.09807205200195312,100.6319046020508,low memorial library,0-2,walking,new york,united states,194.4779357910156,385.9730834960938,-852.0535278320312,955.4015401829887
0,2016-11-30T09:50:39.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,8,25,105.46875,0,0.1349754333496094,100.6314697265625,low memorial library,0-2,walking,new york,united states,196.8133392333984,393.68994140625,-854.3814697265625,961.0905036867123
0,2016-11-30T09:50:40.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,6,25,105.46875,0,0.1466064453125,100.6313247680664,low memorial library,0-2,walking,new york,united states,193.2106475830078,390.9278869628906,-851.4747924804688,956.6421950626959
0,2016-11-30T09:50:41.027Z,2016-11-30T09:50:33.025Z,-92,40.80671074338332,-73.96187377169166,6,25,105.46875,0,0.1466064453125,100.6313247680664,low memorial library,0-2,walking,new york,united states,193.9597320556641,390.249755859375,-851.242919921875,956.3104926353817
0,2016-11-30T09:50:42.571Z,2016-11-30T09:50:33.025Z,-92,40.80671916719601,-73.96183680749867,6,25,132.5390625,0.5299999713897705,0.1466064453125,100.6313247680664,low memorial library,0-2,walking,new york,united states,196.1058197021484,368.7879638671875,-844.7241821289062,942.3486608934652
0,2016-11-30T09:50:43.027Z,2016-11-30T09:50:33.025Z,-92,40.80671916719601,-73.96183680749867,6,25,132.5390625,0.5299999713897705,0.1339645385742188,100.631477355957,low memorial library,0-2,walking,new york,united states,196.1058197021484,368.7879638671875,-844.7241821289062,942.3486608934652
0,2016-11-30T09:50:44.027Z,2016-11-30T09:50:33.025Z,-92,40.80671816136763,-73.96183429292772,8,25,139.5703125,0.5299999713897705,0.1339645385742188,100.631477355957,low memorial library,0-2,walking,new york,united states,196.6356658935547,372.2361450195312,-845.404052734375,944.4222282115712
0,2016-11-30T09:50:45.027Z,2016-11-30T09:50:33.025Z,-92,40.80671690408215,-73.96182892850969,8,25,130.4296875,0.6499999761581421,0.1400337219238281,100.6314086914062,low memorial library,0-2,walking,new york,united states,196.1945648193359,378.9140319824219,-847.598876953125,948.9425731360266
0,2016-11-30T09:50:46.027Z,2016-11-30T09:50:33.025Z,-92,40.80671547915861,-73.96182574338648,8,25,132.5390625,0.6899999976158142,0.1688499450683594,100.6310653686523,low memorial library,0-2,walking,new york,united states,199.7914428710938,377.4004821777344,-849.2949829101562,950.6049192955307
0,2016-11-30T09:50:47.027Z,2016-11-30T09:50:33.025Z,-92,40.80671145584509,-73.96182180389199,12,25,133.9453125,0.8199999928474426,0.1926078796386719,100.6307830810547,low memorial library,0-2,walking,new york,united states,192.3687896728516,377.5029602050781,-844.9220581054688,945.2023701181539
