indoors,created_at,session_id,floor,rssi_strength,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
1,2017-03-07T15:03:39.375Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,0,101.2214660644531,,0-2,walking,new york,united states,-14.04872131347656,314.2012329101562,-690.0587768554688,758.3540708983315
1,2017-03-07T15:03:39.995Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,0,101.2214660644531,,0-2,walking,new york,united states,-10.37533569335938,312.7609558105469,-688.9794311523438,756.7164063381234
1,2017-03-07T15:03:40.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.06339740753173828,101.2222290039062,,0-2,walking,new york,united states,7.091171264648438,304.9629211425781,-682.5377197265625,747.6031078261075
1,2017-03-07T15:03:41.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.1277999877929688,101.2229995727539,,0-2,walking,new york,united states,1.850433349609375,312.4107666015625,-686.343017578125,754.1025453944601
1,2017-03-07T15:03:42.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.3270444869995117,101.2253875732422,,0-2,walking,new york,united states,2.443878173828125,311.213134765625,-695.8609008789062,762.2873350405204
1,2017-03-07T15:03:43.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.4996194839477539,101.2274627685547,,0-2,walking,new york,united states,-2.13232421875,311.9087219238281,-700.3946533203125,766.7100286408223
1,2017-03-07T15:03:44.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.6998624801635742,101.229866027832,,0-2,walking,new york,united states,-6.328079223632812,310.8696899414062,-688.79638671875,755.7251293080921
1,2017-03-07T15:03:45.995Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-0.975064754486084,101.2331695556641,,0-2,walking,new york,united states,-59.66361999511719,349.1009521484375,-674.5653076171875,761.8855403422079
1,2017-03-07T15:03:46.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.043486595153809,101.2339935302734,,0-2,walking,new york,united states,-76.02684020996094,344.1471557617188,-686.1424560546875,771.3681450850498
1,2017-03-07T15:03:47.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.414266586303711,101.2384490966797,,0-2,walking,new york,united states,47.78628540039062,333.5227966308594,-677.9743041992188,757.0800103682913
1,2017-03-07T15:03:48.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.7352294921875,101.2422943115234,,0-2,walking,new york,united states,-19.61381530761719,299.5916748046875,-676.4111938476562,740.0486311896067
1,2017-03-07T15:03:49.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.873069286346436,101.2439498901367,,0-2,walking,new york,united states,-43.66751098632812,313.787841796875,-676.3900756835938,746.9090946417372
1,2017-03-07T15:03:50.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.873069286346436,101.2439498901367,,0-2,walking,new york,united states,-45.52377319335938,326.5456848144531,-677.1849975585938,753.1825934759335
1,2017-03-07T15:03:52.324Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.866026401519775,101.2438659667969,,0-2,walking,new york,united states,-36.30636596679688,322.6856079101562,-680.7858276367188,754.2635460322036
1,2017-03-07T15:03:52.995Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.866026401519775,101.2438659667969,,0-2,walking,new york,united states,-35.63365173339844,321.4833679199219,-681.7531127929688,754.5916907758098
1,2017-03-07T15:03:53.996Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.866026401519775,101.2438659667969,,0-2,walking,new york,united states,-26.87406921386719,311.6239929199219,-683.0171508789062,751.2284319394506
1,2017-03-07T15:03:55.742Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.865020275115967,101.2438507080078,,0-2,walking,new york,united states,-49.8182373046875,313.4376831054688,-676.8072509765625,747.5246436961942
1,2017-03-07T15:03:55.995Z,2017-03-07T15:03:37.993Z,0,-99,40.81027439333574,-73.95870566374991,4,50,4.5703125,0.6700000166893005,-1.865020275115967,101.2438507080078,,0-2,walking,new york,united states,-49.8182373046875,313.4376831054688,-676.8072509765625,747.5246436961942
