created_at,final_train_acc,final_val_acc,trail_nb,train_acc,val_acc
2018-01-03 17:25:57.312332,,,0.0,0.9944244014430961,0.9507874015748031
2018-01-03 17:25:57.485982,,,1.0,0.9947523778287963,0.9606299212598425
2018-01-03 17:25:57.666650,,,2.0,0.9944244014430961,0.9635826771653543
2018-01-03 17:25:57.841759,,,3.0,0.9927845195145949,0.968503937007874
2018-01-03 17:25:58.004536,,,4.0,0.9950803542144966,0.9517716535433071
2018-01-03 17:25:58.179258,,,5.0,0.9937684486716957,0.9596456692913385
2018-01-03 17:25:58.345497,,,6.0,0.9940964250573958,0.9625984251968503
2018-01-03 17:25:58.517910,,,7.0,0.9937684486716957,0.937992125984252
2018-01-03 17:25:58.686988,,,8.0,0.9954083306001967,0.9616141732283464
2018-01-03 17:25:58.874040,,,9.0,0.9944244014430961,0.9448818897637795
2018-01-03 17:25:59.045957,,,10.0,0.9967202361429977,0.9606299212598425
2018-01-03 17:25:59.247448,,,11.0,0.9927845195145949,0.9507874015748031
2018-01-03 17:25:59.414013,,,12.0,0.9937684486716957,0.9576771653543307
2018-01-03 17:25:59.582823,,,13.0,0.9954083306001967,0.9606299212598425
2018-01-03 17:25:59.750260,,,14.0,0.9954083306001967,0.9576771653543307
2018-01-03 17:25:59.922233,,,15.0,0.9940964250573958,0.9468503937007874
2018-01-03 17:26:00.090725,,,16.0,0.9940964250573958,0.952755905511811
2018-01-03 17:26:00.266340,,,17.0,0.9960642833715972,0.9645669291338582
2018-01-03 17:26:00.433225,,,18.0,0.9911446375860938,0.9517716535433071
2018-01-03 17:26:00.608228,,,19.0,0.9950803542144966,0.9507874015748031
2018-01-03 17:26:00.776047,,,20.0,0.9934404722859954,0.9625984251968503
2018-01-03 17:26:00.955846,,,21.0,0.9950803542144966,0.9645669291338582
2018-01-03 17:26:01.129914,,,22.0,0.9950803542144966,0.9566929133858267
2018-01-03 17:26:01.302402,,,23.0,0.9940964250573958,0.9586614173228346
2018-01-03 17:26:01.472602,,,24.0,0.991472613971794,0.9478346456692913
2018-01-03 17:26:01.653889,,,25.0,0.9960642833715972,0.9596456692913385
2018-01-03 17:26:01.828482,,,26.0,0.9954083306001967,0.9606299212598425
2018-01-03 17:26:02.001265,,,27.0,0.9924565431288948,0.969488188976378
2018-01-03 17:26:02.176419,,,28.0,0.9973761889143982,0.9655511811023622
2018-01-03 17:26:02.344942,,,29.0,0.9937684486716957,0.968503937007874
2018-01-03 17:26:02.506935,,,30.0,0.9934404722859954,0.9566929133858267
2018-01-03 17:26:02.678289,,,31.0,0.9960642833715972,0.9448818897637795
2018-01-03 17:26:02.832695,,,32.0,0.9937684486716957,0.9635826771653543
2018-01-03 17:26:02.995820,,,33.0,0.9921285667431945,0.9586614173228346
2018-01-03 17:26:03.162443,,,34.0,0.9937684486716957,0.9616141732283464
2018-01-03 17:26:03.338408,,,35.0,0.9947523778287963,0.9507874015748031
2018-01-03 17:26:03.511756,,,36.0,0.9967202361429977,0.9704724409448819
2018-01-03 17:26:03.688286,,,37.0,0.9940964250573958,0.9586614173228346
2018-01-03 17:26:03.860053,,,38.0,0.9931124959002952,0.9586614173228346
