,acc,name
0,0.8890652277416283,fc_nn_final_1_0_trial_0.h5
1,0.874781780669735,fc_nn_final_1_100_trial_100.h5
2,0.8835105538803365,fc_nn_final_1_101_trial_101.h5
3,0.8808125694334232,fc_nn_final_1_102_trial_102.h5
4,0.8976352959847643,fc_nn_final_1_103_trial_103.h5
5,0.8973178860498333,fc_nn_final_1_104_trial_104.h5
6,0.8971591810823679,fc_nn_final_1_105_trial_105.h5
7,0.9011268052690049,fc_nn_final_1_106_trial_106.h5
8,0.8970004761149024,fc_nn_final_1_107_trial_107.h5
9,0.8928741469607999,fc_nn_final_1_108_trial_108.h5
10,0.8673226471988573,fc_nn_final_1_109_trial_109.h5
11,0.8820822091731472,fc_nn_final_1_10_trial_10.h5
12,0.8760514204094588,fc_nn_final_1_110_trial_110.h5
13,0.8930328519282653,fc_nn_final_1_111_trial_111.h5
14,0.8892239327090938,fc_nn_final_1_112_trial_112.h5
15,0.8897000476114902,fc_nn_final_1_113_trial_113.h5
16,0.8874781780669735,fc_nn_final_1_114_trial_114.h5
17,0.8923980320584034,fc_nn_final_1_115_trial_115.h5
18,0.8868433581971116,fc_nn_final_1_116_trial_116.h5
19,0.9009681003015394,fc_nn_final_1_117_trial_117.h5
20,0.8955721314077131,fc_nn_final_1_118_trial_118.h5
21,0.8760514204094588,fc_nn_final_1_119_trial_119.h5
22,0.8920806221234725,fc_nn_final_1_11_trial_11.h5
23,0.8908109823837486,fc_nn_final_1_120_trial_120.h5
24,0.8909696873512141,fc_nn_final_1_121_trial_121.h5
25,0.8955721314077131,fc_nn_final_1_122_trial_122.h5
26,0.8863672432947152,fc_nn_final_1_123_trial_123.h5
27,0.8703380415807015,fc_nn_final_1_124_trial_124.h5
28,0.887319473099508,fc_nn_final_1_125_trial_125.h5
29,0.8922393270909379,fc_nn_final_1_126_trial_126.h5
30,0.9016029201714013,fc_nn_final_1_127_trial_127.h5
31,0.8857324234248531,fc_nn_final_1_128_trial_128.h5
32,0.8857324234248531,fc_nn_final_1_129_trial_129.h5
